recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,airline,traveller_type,cabin,year_flown,month_flown,aircraft_0,aircraft_1,aircraft_2,src,dst,via,verified,review_text
no,4,4,3,2,1,3,3,Asiana Airlines,Solo Leisure,Economy Class,2022,8,A380,,,HKG,ICN,,True," Hong Kong to Seoul with Asiana Airlines. My window was dirty, my headrest and my pillow covers were not changed (covers in fabric so passengers cannot always notice it, but the smell was just terrible. The blanket was the one used for the previous flight (just folded on the seat, not sealed in a plastic bag as it should be). When I asked for a ""clean blanket"" the FA did not really seem to realize what I meant. Extremely disappointed by these kind of practices. I usually have issues with Asiana regarding dirty windows so I usually ask the FA a wet tissue to clean it. When traveling on a legacy airline, cleanliness is an issue for me, since it's basic respect for passengers. By comparison, I flew Korean Air several times and never had such issues. Take off at 00:40 and ""dinner"" served at 2am. Seriously, the only things passengers want to do at this time is to sleep. FA woke up all the passengers by asking them to put up their seats. Choice was not appropriate - porridge or sea food. I did not take any of them. A breakfast, before arriving at Incheon would have been more suitable. The quantity of movies loaded in the IFE is just a huge joke. The movie application is divided into themes and in Hollywood or classics you would find only have 3 to 4 movies."
yes,8,4,5,3,4,3,4,Cathay Pacific Airways,Solo Leisure,Premium Economy,2022,11,A330,,,Hong Kong,Melbourne,,,"Hong Kong to Melbourne. Seat 32G, last row aisle seat in the premium economy cabin. It seems seats in the last row in PE have better recline than the other two rows. Seats arranged in 2x3x2 configuration. Seat with foot rest, fairly comfortable with good recline. PE cabin completely full. Shared bathrooms with economy cabin. IFE screens good size maybe 11 or 12 inches seem a little larger than iPad. Good contents plenty to watch to kill time. Cabin clean and tidy, bathrooms kept fully stocked and clean. Flight scheduled to depart Hong Kong at 10:20 AM but delayed to 10:35 AM and finally departed after 11am. Arrived into Melbourne after 11pm about 40 minutes late. Pre departure drinks offered but no champagne only water and juices. Hot towel offered only once be nice to have another hot towel service prior to arrival. Once airborne lunch service began. Pre ordered vegetarian meal and served first but after finished with meal stuck with tray for the next hour as cabin crew was serving the rest of the economy cabin before returning to clear trays. Drinks offered multiple times. A male cabin crew addressed passengers by name and introduced himself, very pleasant and professional. Pre arrival meals served two hours before landing. Overall an above average flight with friendly and professional cabin crew. Only minor complaint Cathay Pacific does not know the different between vegan and vegetarian meals. If you order vegetarian meal chances are you will get a vegan meal of pasta with salad and no dressing for main meal and some sort of greasy grilled vegetables with soggy potato wedges as pre landing meal. Recommend CX provides salad dressing and a second hot towel service."
no,2,1,2,1,3,1,2,Norwegian,Couple Leisure,Economy Class,2022,10,787,,,LGW,BOS,,,"Flew Norwegian from London Gatwick to Boston. My first time on a no frills airline. The air was slightly better on a 787, but the crowded plane in economy with no meal (I didn't pre-order the relatively high priced meal service) made the flight seem almost endless. The ticket price was good, but I think if I need to save that much money I would prefer to just stay home. There is no lumbar support in the seats and the planes were full. I never got comfortable in the 7 plus hours."
yes,9,5,5,5,5,5,4,Singapore Airlines,Family Leisure,Business Class,2022,2,A350-900,,,Singapore,Amsterdam,,True," Service is unparalleled. Food is very good and served on proper plates with real cutlery. Wide selection of online shopping. Best thing about this flight was the sky bed. The chair unfolds into a flat bed, which gave my son and I some decent sleep. The plane leaves SG just before midnight and arrives in AMS around 6.15am - so even a 12 hour flight seems like no time is wasted. Wifi is available on board but requires payment. The complimentary allowance for business class members is only suited for text messages - runs out fast. Overall, a very comfortable flight. Will definitely fly again."
yes,7,3,4,5,4,2,4,Etihad Airways,Family Leisure,Economy Class,2022,12,A330-200,,,Abu Dhabi,Manchester,,,"Clean cabin, attendants kind. Seats were nice, entertainment was fairly good and food delicious. Landed at 7am and generally found it a pleasant flight. However when I departed from the UK with Boeing 777-300ER Manchester to Abu Dhabi I found seat pitch pretty tight and slightly uncomfortable. Next time will probably try Qatar Airways or Emirates."
no,1,1,1,1,1,1,2,Ethiopian Airlines,Family Leisure,Economy Class,2022,6,777-200LR,,,Paris,Johannesburg,Addis Ababa,True," Paris to Johannesburg via Addis Ababa with Ethiopian Airlines. A chaotic check in experience for a packed flight at CDG. Boarding was supposed to be via zone, but when boarding time came at CDG it was every man for himself. Basically it was organized chaos. Passengers boarded with hand luggage that did not fit into the overhead compartments, and I ended up helping the cabin crew repack the compartments to fit everything in, as I am quite tall. The flight from CDG to ADD was the noisiest, smelliest flight I have ever been on, and 4 hours into the 6.5 hour journey, I wanted to use the toilet. The floor and toilet was covered in urine and toilet paper. I reported this to the cabin crew and nothing was done about it. The interior was the the most tired and dated I have been on, and my inflight entertainment was working on and off. Food service was abysmal, and after service the crew disappeared for the rest of the flight. The aircraft was quite dirty and one of the overhead bins opened in ADD when we were slammed into the ground upon landing. The leg from ADD to JNB was also in a 777-200LR, but on the upside it was quite empty. Meal service on this leg was a snack and a lunch and from all the meals this was passable. Service in general was OK, but nothing to rave about. In general the whole Ethiopian experience left me with a bad taste in my mouth. I would suggest that the airline focus on customer service, and do something to fix abysmal ADD airport before they consider expanding further. A more modern cabin refresh wouldn't hurt either."
yes,8,4,4,4,5,4,4,Air New Zealand,Solo Leisure,Economy Class,2022,1,A320,,,CHC,BNE,,True," NZ805 Christchurch to Brisbane. I consider this flight an excellent choice for having sufficient time in the morning in Christchurch to have brunch with family before flying home. Check in effortless at Christchurch Airport. Made use of Koru Lounge prior to boarding with Koru membership. Boarding quick. Aircraft perhaps 85% full. Once loaded, an unexpected 30 minute delay occurred. However, flight landed in Brisbane 15 minutes early. The only male flight attendant presented as disinterested, appearing unhappy and 'going through the motions.' Female flight attendants were positively engaged in their occupation. Food offerings consisted of two hot meals for 'The Works' passengers. The beef, rice and vegetable option was tasty enough for airline food. However portion small. It has been noted on a number of Air New Zealand flights taken recently that soft drinks are not served by the can, but rather out of the can and into the plastic cup by the flight attendants. While innocent in service to passengers, this is portion control by any description and therefore Air New Zealand cost cutting. I have also noticed that when the Customer Service Manager reads the offerings out across the PA, there is no mention of soft drinks, only tea, coffee and water. Bags out on belt within 15 minutes at Brisbane Airport. While I consider Air New Zealand to be a good airline, they pale in comparison to Qantas with service delivery. Overall a good flight, but Air New Zealand let themselves down with these issues."
yes,5,3,3,2,2,4,3,Swiss Intl Air Lines,Business,Business Class,2022,10,A320,,,LHR,ATH,ZRH,,"Professional and speedy check in for 6am flight to Zurich. Use of business lounge at Terminal 2, LHR. Comfortable seating, good choice of breakfast food and beverages. Boarding was a bit of a mess. Seating on A320 was 3x3 with middle seat free. Ample leg room and reading material. Cabin crew polite but a little cold. Booked a vegetarian meal, was presented with vegetable curry and rice 30 minutes after take off. Although grateful, had to return untouched as expected something a little different. A320 from Zurich to Athens the cabin crew, although polite, were a little aloof and cold. Lunch an Asian vegetarian meal which was tasty. Usual wines and soft drinks followed by little squares of Swiss chocolate. Cabin announcements by Purser made in German, French and English were too lengthy, loud and annoying. Landed 20 minutes early. Overall, a good experience."
yes,6,4,5,4,1,1,5,American Airlines,Business,Economy Class,2022,11,767-300,,,Miami,LA,,,"My previous experiences with American Airlines was not so good, but this one flight compensated it all. The flight attendants were well dressed, friendly, and professional. I heard food on American Airlines is expensive, but I still bought the Asian Chicken Wrap and it was worth the price I paid. Before touching down at LA I got sick, and somehow managed to walk to the galley and despite her restriction, the flight attendant managed to get me a bottle of water and I am grateful to her for that. The flight was 3/4 full, so I went to the two empty seats at the back and rested all the way to LA, the seats were comfortable, and the plane seemed new though some seats were worn and torn. I am still not sure if I may fly this airline again because of how bad the experiences were, of the 4 flights I had with American, this one was the only one which was satisfactory."
yes,9,5,5,4,4,5,5,China Southern Airlines,Business,Business Class,2022,6,787,,,CAN,PEK,,True," Excellent value and service good. Guangzhou to Beijing, seats are comfortable. Cabin crew were attentive and friendly and helpful. The service was prompt and efficient, Overall a very pleasant flight. Price paid was good value for money for business class."
